Step,Value
402,0.6694524
403,0.6661696
404,0.66260326
405,0.6595841
406,0.6581876
407,0.6586423
408,0.6613112
409,0.6643467
410,0.6665601
411,0.6667648
412,0.66581607
413,0.6647914
414,0.66413856
415,0.6625427
416,0.65923065
417,0.6543728
418,0.65032816
419,0.6474364
420,0.6467381
421,0.6463578
422,0.6463864
423,0.6458576
424,0.6435972
425,0.63997924
426,0.63591754
427,0.6294753
428,0.6227061
429,0.614976
430,0.60647285
431,0.600092
432,0.5944345
433,0.5900488
434,0.58473307
435,0.57878816
436,0.57016355
437,0.5621644
438,0.55636656
439,0.55165714
440,0.5468795
441,0.54231465
442,0.53569686
443,0.52913606
444,0.5222357
445,0.51576024
446,0.50747675
447,0.50014526
448,0.4957271
449,0.4926739
450,0.48955545
451,0.48686802
452,0.48357835
453,0.4837274
454,0.4868716
455,0.49207643
456,0.4972437
457,0.49921957
458,0.50191474
459,0.5034646
460,0.5053791
461,0.5050727
462,0.50429595
463,0.50507313
464,0.5055363
465,0.50633514
466,0.507724
467,0.5073657
468,0.507449
469,0.5068811
470,0.5077547
471,0.50739074
472,0.50607115
473,0.50387627
474,0.50026685
475,0.4973494
476,0.49664098
477,0.49521267
478,0.49381223
479,0.4913302
480,0.48868525
481,0.48717463
482,0.48486266
483,0.48351455
484,0.48221773
485,0.4821563
486,0.48117605
487,0.47981858
488,0.47817218
489,0.476062
490,0.4735416
491,0.47125477
492,0.46740797
493,0.4635437
494,0.4595565
495,0.45660245
496,0.45250553
497,0.44832012
498,0.44364536
499,0.4389633
500,0.43594086
501,0.4350142
502,0.4333481
503,0.43204868
504,0.43173674
505,0.43227232
506,0.43281233
507,0.43137017
508,0.4298566
509,0.42823523
510,0.42649788
511,0.42281702
512,0.4197208
513,0.4184511
514,0.41870278
515,0.4191597
516,0.41931358
517,0.4179883
518,0.41640845
519,0.4165499
520,0.4183193
521,0.42063734
522,0.42363563
523,0.4260954
524,0.42835796
525,0.4298659
526,0.43198732
527,0.43441024
528,0.43507397
529,0.43410116
530,0.43230137
531,0.43230003
532,0.43470415
533,0.43716562
534,0.43950927
535,0.4406276
536,0.44151577
537,0.44231513
538,0.44242564
539,0.4444259
540,0.44666338
541,0.44767675
542,0.4457919
543,0.44216883
544,0.4409704
545,0.4408066
546,0.4405089
547,0.43977752
548,0.43872562
549,0.43923742
550,0.440411
551,0.44305503
552,0.4473396
553,0.4505113
554,0.45287177
555,0.4542704
556,0.4559369
557,0.45850387
558,0.45994002
559,0.46226335
560,0.46531442
561,0.47012323
562,0.47408146
563,0.47416934
564,0.4719538
565,0.46947238
566,0.46956342
567,0.47269732
568,0.4753922
569,0.47587308
570,0.47448432
571,0.47320575
572,0.47298717
573,0.47343007
574,0.47522262
575,0.47771516
576,0.48061964
577,0.4843685
578,0.4876883
579,0.4910497
580,0.49441078
581,0.49729636
582,0.49942067
583,0.49892825
584,0.49779573
585,0.49689502
586,0.49581546
587,0.49589792
588,0.49887112
589,0.5047821
590,0.5113588
591,0.51564014
592,0.5192709
593,0.52247345
594,0.5252607
595,0.5269993
596,0.52810323
597,0.52893287
598,0.5293605
599,0.5293421
600,0.5292864
601,0.5290192
602,0.5286432
603,0.5290393
604,0.5307621
605,0.5333062
606,0.5345675
607,0.53344065
608,0.53155875
609,0.52976376
610,0.52921695
611,0.529326
612,0.5290676
613,0.5277234
614,0.5248069
615,0.5212277
616,0.51811486
617,0.51554465
618,0.51412076
619,0.5124192
620,0.5094421
621,0.5056775
622,0.5036856
623,0.5048895
624,0.5063121
625,0.5054989
626,0.5031888
627,0.5008142
628,0.49931377
629,0.4965039
630,0.4927617
631,0.48978293
632,0.4881052
633,0.48833302
634,0.48738462
635,0.48531112
636,0.48181888
637,0.47866693
638,0.4784171
639,0.47922522
640,0.48073554
641,0.48126477
642,0.4806029
643,0.48048097
644,0.4795537
645,0.4788371
646,0.47766557
647,0.4753438
648,0.4736578
649,0.4711639
650,0.4690396
651,0.4658191
652,0.4612741
653,0.4584659
654,0.45618147
655,0.45396525
656,0.45066595
657,0.4458433
658,0.44099253
659,0.43549505
660,0.4311769
661,0.42893407
662,0.4269764
663,0.42446172
664,0.4221508
665,0.4206802
666,0.41913483
667,0.41588262
668,0.41258985
669,0.41039848
670,0.40948159
671,0.4092893
672,0.4079785
673,0.40697277
674,0.4056981
675,0.4047581
676,0.4024935
677,0.39967677
678,0.39757982
679,0.3951833
680,0.39272776
681,0.39062712
682,0.39091843
683,0.39243335
684,0.39346293
685,0.39283413
686,0.39240798
687,0.39199075
688,0.39241186
689,0.39389968
690,0.39602855
691,0.39696205
692,0.40012804
693,0.40319818
694,0.40388516
695,0.40091044
696,0.39870396
697,0.39875436
698,0.40161264
699,0.4058158
700,0.40955293
701,0.40987563
702,0.41031334
703,0.411361
704,0.41368386
705,0.41619715
706,0.41715157
707,0.41913757
708,0.41982514
709,0.42029002
710,0.41977298
711,0.42177674
712,0.42465106
713,0.42780834
714,0.431773
715,0.43611726
716,0.4390348
717,0.44346824
718,0.44727963
719,0.45116773
720,0.45332193
721,0.45675477
722,0.45939744
723,0.46159658
724,0.46456683
725,0.46734992
726,0.4678493
727,0.46969512
728,0.4720232
729,0.4764266
730,0.48155868
731,0.48419034
732,0.48697338
733,0.4889516
734,0.4923944
735,0.49558204
736,0.5005056
737,0.50533533
738,0.50981474
739,0.5161671
740,0.52270377
741,0.52638364
742,0.5324766
743,0.53865707
744,0.54502493
745,0.5481022
746,0.5523539
747,0.5579817
748,0.563495
749,0.56893075
750,0.5737161
751,0.57685006
752,0.58201176
753,0.5864581
754,0.59080714
755,0.5944117
756,0.5962806
757,0.6003505
758,0.60480475
759,0.6084046
760,0.607811
761,0.6071889
762,0.6080845
763,0.61274266
764,0.6220068
765,0.632911
766,0.6406786
767,0.6475331
768,0.65275556
769,0.65889645
770,0.66346043
771,0.6687724
772,0.6737138
773,0.6777995
774,0.68178964
775,0.685709
776,0.6886863
777,0.6928399
778,0.69631624
779,0.7008654
780,0.7070649
781,0.71125245
782,0.7135131
783,0.7133324
784,0.7127428
785,0.7119013
786,0.71202046
787,0.71253884
788,0.71307653
789,0.7136513
790,0.71486896
791,0.7172667
792,0.7211505
793,0.7242539
794,0.7255414
795,0.72565556
796,0.7255275
797,0.72463065
798,0.72289747
799,0.7211391
800,0.7203801
801,0.7197053
802,0.71784145
803,0.7154286
804,0.7130178
805,0.7108353
806,0.70834166
807,0.7049921
808,0.702237
809,0.6995421
810,0.69701976
811,0.69551915
812,0.69448686
813,0.694543
814,0.6953795
815,0.697669
816,0.7006163
817,0.7029818
818,0.70518005
819,0.7073396
820,0.70950586
821,0.7104113
822,0.71041197
823,0.70958346
824,0.7076445
825,0.7060563
826,0.70648426
827,0.7073743
828,0.7081123
829,0.70723677
830,0.7053393
831,0.7030882
832,0.6988722
833,0.69451785
834,0.6897089
835,0.68550116
836,0.6832468
837,0.68070865
838,0.6790697
839,0.6776343
840,0.67793244
841,0.67791814
842,0.6779691
843,0.67852455
844,0.67873347
845,0.6786828
846,0.67644787
847,0.6743937
848,0.6743489
849,0.6744791
850,0.67269427
851,0.6698648
852,0.6645738
853,0.65909374
854,0.65228915
855,0.64409024
856,0.63771456
857,0.6305353
858,0.62273365
859,0.6144223
860,0.6068345
861,0.6021062
862,0.59668654
863,0.59183073
864,0.5871362
865,0.584299
866,0.58016616
867,0.577232
868,0.5743155
869,0.56903887
870,0.56311625
871,0.5544482
872,0.5463477
873,0.5384964
874,0.5304678
875,0.52377236
876,0.5209606
877,0.5182607
878,0.51574975
879,0.5128972
880,0.5103598
881,0.5083714
882,0.5028098
883,0.4955745
884,0.48821774
885,0.48163685
886,0.47623318
887,0.4696677
888,0.46410182
889,0.45925212
890,0.45534846
891,0.44843733
892,0.44170794
893,0.43549132
894,0.42976084
895,0.4264292
896,0.42304686
897,0.42094305
898,0.4190144
899,0.41681275
900,0.41444403
901,0.41261572
902,0.4089087
903,0.40595737
904,0.40519992
905,0.40757588
906,0.41197982
907,0.4152211
908,0.4187889
909,0.42359346
910,0.43060544
911,0.4385994
912,0.4443175
913,0.44792008
914,0.45106655
915,0.4553086
916,0.45918998
917,0.46301755
918,0.46675628
919,0.46940196
920,0.47015736
921,0.46879902
922,0.4683429
923,0.46905088
924,0.47022888
925,0.4722293
926,0.4760815
927,0.48047957
928,0.4838376
929,0.4854618
930,0.48644596
931,0.48809743
932,0.48978376
933,0.49134615
934,0.4928778
935,0.49433944
936,0.4959673
937,0.49686995
938,0.49784112
939,0.4995125
940,0.5019664
941,0.5034084
942,0.5029011
943,0.5014226
944,0.5011057
945,0.5017917
946,0.50141704
947,0.49994656
948,0.4989973
949,0.49941492
950,0.4994277
951,0.49884224
952,0.49731487
953,0.49645272
954,0.49689516
955,0.49720144
956,0.4976073
957,0.49746096
958,0.49776936
959,0.49795845
960,0.4969607
961,0.49585518
962,0.49445233
963,0.4932248
964,0.49132064
965,0.49000356
966,0.49014738
967,0.49286464
968,0.4959441
969,0.4973766
970,0.4983865
971,0.4991753
972,0.49993867
973,0.49972528
974,0.4990295
975,0.49858972
976,0.49824452
977,0.4970346
978,0.49590304
979,0.49573877
980,0.49577838
981,0.49536145
982,0.493866
983,0.49228698
984,0.49073675
985,0.488766
986,0.48762256
987,0.48628283
988,0.48414382
